NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
3CNERGY LIMITED                                             SG0502000029        502       3Cnergy
5E RESOURCES LIMITED                                        SGXE78399073        NLC       5E Resources
8TELECOM INTL HOLDINGS CO LTD                               BMG3087Y2074        AZG       8Telecom
AAC 5XLONGSOCGEN 230331                                     LU1986496609        DAFW      AAC 5xLongSG230331
AAC 5XLONGSOCGEN 230620                                     LU2348856001        DAOW      AAC 5xLongSG230620
AAC 5XLONGSOCGEN 231214                                     LU2184316235        DATW      AAC 5xLongSG231214
AAC 5XLONGSOCGEN 240201                                     LU2267117831        DKAW      AAC 5xLongSG240201
AAC 5XSHORTSOCGEN 221201                                    LU1986494224        DYDW      AAC 5xShortSG221201
AAC 5XSHORTSOCGEN 230825                                    LU1986500301        DWTW      AAC 5xShortSG230825
AANJANEYA US$40M5.44%CB180322                               XS0907573850        2RUB      Aanjaneya cb180322S
ABF SPORE BOND INDEX FUND ETF                               SG1S08926457        A35       ABF SG BOND ETF
ABJA INV S$300M 4.95%N230503                                SG55G7992081        2UDB      ABJA n4.95%230503 S
ABJA INV US$1B5.45%N280124                                  XS1753595328        8GCB      ABJA n5.45%280124S
ABJA INV US$300M4.45%N230124                                XS1753594198        8GBB      ABJA n4.45%230124S
ABR HOLDINGS LIMITED                                        SG0533000253        533       ABR
ABTERRA LTD                                                 SG2C12961455        L5I       Abterra^
ABUNDANCE INTERNATIONAL LTD                                 SG1I02877971        541       Abundance Intl
AC ENER FIN US$300M5.1%N                                    XS2258819874        RKIB      AC Ener n5.1%S
AC ENER FINUS$110M5.25%N290212                              XS1946107007        IDTB      AC Ener n5.25%290212S
AC ENER FINUS$225M4.75%N240129                              XS1940840132        OEHB      AC Ener n4.75%240129S
ACCRELIST LTD                                               SGXE69448095        QZG       Accrelist Ltd
ACE ACHIEVE INFOCOM LIMITED                                 BMG007FR1026        A75       Ace Achieve Info
ACEN FIN US$400M4%N                                         XS2382032956        ZDJB      ACEN Fin n4%S
ACESIAN PARTNERS LIMITED                                    SG1Q66923448        5FW       Acesian Partners
ACMA LTD.                                                   SG1BB6000006        AYV       Acma
ACROMETA GROUP LIMITED                                      SG1CH1000006        43F       AcroMeta
ACUPETROLE US$600M7.5%N350713A                              US00110RAA59        UBHB      AcuPetrolen7.5%350713A
ACUPETROLE US$600M7.5%N350713R                              USL0R80QAA10        Y6RB      AcuPetrolen7.5%350713R
ADANI INTL US$300M3%N310216A                                US00654UAA07        W1RB      Adani Intl n3%310216A
ADANI INTL US$300M3%N310216R                                XS2267100514        8T6B      Adani Intl n3%310216R
ADANIELECT US$1B3.949%N300212A                              US00654GAA13        QPUB      AdaniEle n3.949%300212A
ADANIELECT US$1B3.949%N300212R                              XS2109438205        93CB      AdaniEle n3.949%300212R
ADANIELECUS$300M3.867%N310722A                              US00654GAB95        Y1GB      AdaniEle n3.867%310722A
ADANIELECUS$300M3.867%N310722R                              XS2367109803        TIPB      AdaniEle n3.867%310722R
ADANIGENEUS$750M4.375%N240908A                              US00653XAA54        KOTB      AdaniGEne n4.375%240908A
ADANIGENEUS$750M4.375%N240908R                              XS2383328932        MPRB      AdaniGEne n4.375%240908R
ADANIGREEN US$500M6.25%N241210A                             US00654AAA43        X2LB      AdaniG n6.25%241210A
ADANIGREEN US$500M6.25%N241210R                             XS1854172043        989B      AdaniG n6.25%241210R
ADANIPORTS US$500M4%N270730A                                US00652MAD48        76EB      AdaniPorts n4%270730A
ADANIPORTS US$500M4%N270730R                                XS1636266832        76FB      AdaniPorts n4%270730R
ADANIPORTS US$750M4.2%N270804A                              US00652MAG78        JYXB      AdaniPorts n4.2%270804A
ADANIPORTS US$750M4.2%N270804R                              USY00130VS35        TJPB      AdaniPorts n4.2%270804R
ADANIPORTSUS$450M5%N410802A                                 US00652MAJ18        VO5B      AdaniPortsn5%410802A
ADANIPORTSUS$450M5%N410802R                                 USY00130YU53        9THB      AdaniPortsn5%410802R
ADANIPORTSUS$500M3.1%N310202A                               US00652MAH51        TXYB      AdaniPortsn3.1%310202A
ADANIPORTSUS$500M3.1%N310202R                               USY00130XS17        53UB      AdaniPortsn3.1%310202R
ADANIPORTSUS$500M3.95%N220119A                              US00652MAC64        67IB      AdaniPortsn3.95%220119A
ADANIPORTSUS$500M3.95%N220119R                              USY00130HS90        67JB      AdaniPortsn3.95%220119R
ADANIPORTUS$650M3.375%N240724A                              US00652MAF95        8XXB      AdaniPortsn3.375%240724A
ADANIPORTUS$650M3.375%N240724R                              USY00130RW92        NDKB      AdaniPortsn3.375%240724R
ADANIPORTUS$750M4.375%N290703A                              US00652MAE21        JLCB      AdaniPortsn4.375%290703A
ADANIPORTUS$750M4.375%N290703R                              USY00130RP42        ZTWB      AdaniPortsn4.375%290703R
